st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28
AK,4/30/2020,3904,3904,0,0,0,0,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129879,0,0,0
AK,5/31/2020,7007,7007,7731,87690,48346,8783307,3406,3406,2801,0,0,0,0,0,0,0,0,0,0,0,0,10,53,11171,452814,0,0,0
AR,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,5/31/2020,40225,4302,20519,48428,44986,5938740,26055,4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043238,0,0,0
AR,6/30/2020,37115,43222,17804,481562,445576,62705413,20390,30086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435860,0,0,0
AR,7/31/2020,48673,21986,19686,481873,460837,62325744,26333,15232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695877,0,0,0
AR,8/31/2020,52966,13017,13600,514598,498182,66502583,21281,7991,0,741,37,329,1,134,1,0,0,0,0,0,0,0,0,0,1875202,0,0,0
AZ,5/31/2020,204652,132179,46636,1637033,784443,117883218,56846,32799,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6679270,0,0,0
AZ,6/30/2020,629875,615083,242026,7524997,3951131,545020414,87616,86694,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25413348,0,0,0
AZ,7/31/2020,899971,887913,244190,9563948,3623357,486558049,91695,91011,114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34772109,0,0,0
AZ,8/31/2020,273541,270055,126803,1946610,2319048,332687662,40407,40173,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8653882,0,0,0
CA,4/30/2020,231338,231307,37851,196436,188477,30411980,229789,229758,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8840264,0,0,0
CA,5/31/2020,505561,487343,532853,5210306,5075202,1278634843,444748,434816,107346,54,0,1,0,1,0,54,0,1,0,1,0,4,12,2074,27227052,2,7,1520
CA,6/30/2020,381354,352889,271687,5820471,5607610,1377514019,337508,318612,163856,1758,1,423,0,203,0,1079,1,254,0,145,0,340,2502,610849,24264358,20,142,40784
CA,7/31/2020,756292,719386,452762,10935303,10651507,2869156172,708238,681706,208998,3921,71,2565,2,1589,1,2567,30,1687,2,1183,1,1453,14934,3731249,48720692,56,422,127593
CA,8/31/2020,1174215,1136234,686651,20171140,19736581,6362924503,1119549,1091088,1440246,4991,129,3814,98,2289,98,3075,61,2437,98,1650,98,803,9114,2565053,81889793,84,808,242701
CO,4/30/2020,51744,51744,31744,195860,160440,58004947,51744,51744,2070,0,0,0,0,0,0,0,0,0,0,0,0,309,439,210532,2894358,0,0,0
CO,5/31/2020,33085,33085,41012,472934,436328,140639953,33085,33085,6417,0,0,0,0,0,0,0,0,0,0,0,0,4265,22180,6256573,2058991,0,0,0
CO,6/30/2020,56759,38867,37797,674844,652002,187230294,56759,38867,56175,0,0,0,0,0,0,0,0,0,0,0,0,4768,40925,21468845,3577741,1317,15203,11759809
CO,7/31/2020,159962,28353,76138,466088,479001,141722220,159962,28353,75490,57,0,34,0,9,0,57,0,34,0,9,0,18395,84244,50511535,8915678,14890,52593,36545125
CO,8/31/2020,166057,15730,34743,467491,368422,121342893,166057,15730,136544,42,1,30,0,12,0,42,1,30,0,12,0,41617,101376,62961912,9239465,14122,34411,17303491
CT,5/31/2020,26736,24932,23258,237632,219034,44436164,24911,23424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590527,0,0,0
CT,6/30/2020,8444,9921,16337,263203,251548,60420964,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923405,0,0,0
CT,8/31/2020,6204,4167,5182,241687,233313,56005611,3343,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762069,0,0,0
DC,4/30/2020,7034,7030,4453,9513,9340,1681842,3512,3510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,436628,0,0,0
DC,5/31/2020,6715,6715,6463,20823,20228,3587834,2845,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,22309,422408,0,0,0
DC,6/30/2020,3539,3539,3406,8332,8016,1412452,1177,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,44020,191952,0,0,0
DC,7/31/2020,2278,2278,2230,4219,4072,717215,778,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122777,0,0,0
DC,8/31/2020,1021,1021,1007,2665,2531,454820,354,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55626,0,0,0
DE,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,5/31/2020,6094,113,113,37511,916,140430,4171,107,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274328,0,0,0
DE,6/30/2020,2876,2311,4469,44789,54186,6180829,1569,1559,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200199,0,0,0
DE,7/31/2020,1709,1377,2071,43104,45098,4976038,864,861,3257,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6862,164224,0,0,0
DE,8/31/2020,871,705,574,36955,31702,4243914,435,433,2049,2,0,1,0,0,0,0,0,0,0,0,0,9,72,9911,125053,0,0,0
FL,4/30/2020,18273,0,338,5,609,92754,8274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399923,0,0,0
FL,5/31/2020,126334,0,105885,445986,441368,68824109,74479,0,6196,609,0,11,0,0,0,349,0,4,0,0,0,213,384,71033,3545729,0,0,0
FL,6/30/2020,133501,0,126769,1169527,1176365,160737623,77774,0,41628,1612,1,68,0,7,0,886,0,28,0,2,0,871,1797,306509,4937655,0,0,0
FL,7/31/2020,51181,2,59787,1241979,1218003,164459056,31851,0,56600,1848,6,171,1,57,1,949,0,84,0,32,0,1713,5134,664455,3442248,0,0,0
GA,3/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,4/30/2020,82908,76461,7040,12535,12535,2295259,38677,37110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299919,0,0,0
GA,5/31/2020,118162,106262,64880,911648,911648,194232005,59686,56032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4818934,0,0,0
GA,6/30/2020,84948,78438,51659,1784324,1782915,357283921,41917,40263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5410867,0,0,0
GA,7/31/2020,111886,104662,60108,2163070,2162991,461079557,58520,56299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7671067,0,0,0
GA,8/31/2020,28640,24613,106,1039257,1039251,215677406,12517,11463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2897160,0,0,0
HI,4/30/2020,10551,10481,0,0,0,0,9121,9121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279993,0,0,0
HI,5/31/2020,33674,32388,29937,355922,248912,69696348,18847,18847,8436,5651,0,0,0,0,0,4173,0,0,0,0,0,2,5,1334,2234307,0,0,0
HI,6/30/2020,42609,39172,13182,534049,279429,77355949,14783,14783,146903,7224,0,0,0,0,0,4347,0,0,0,0,0,6245,33208,8751199,3142382,0,0,0
HI,7/31/2020,16307,13874,2348,370612,127419,36009765,5034,5034,138147,5085,0,0,0,0,0,3182,0,0,0,0,0,2983,3224,8591625,1877067,0,0,0
HI,8/31/2020,12530,10839,4071,386575,198522,55546542,3428,3428,231748,5237,0,0,0,0,0,3021,0,0,0,0,0,1787,24482,6514242,1843872,0,0,0
HI,9/30/2020,14526,12972,3647,467766,235402,65319231,4727,4727,331595,4993,0,0,0,0,0,2746,0,0,0,0,0,1378,19016,5052251,2214829,0,0,0
IA,4/30/2020,32756,32030,12382,44105,44105,11133979,12610,12610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928782,0,0,0
IA,5/31/2020,14537,13612,7837,90120,90120,21399119,5980,5980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592211,0,0,0
IA,6/30/2020,6975,6207,5328,122938,122938,27772868,2458,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517675,0,0,0
IA,7/31/2020,7245,6207,1843,91269,91269,20842196,2084,2084,311,103,0,0,0,0,0,69,0,0,0,0,0,0,0,0,459359,0,0,0
IA,8/31/2020,4623,3684,1966,79598,79598,18652757,1262,1006,36621,172,0,6,0,2,0,62,0,6,0,2,0,0,0,0,358178,0,0,0
ID,5/31/2020,8851,8721,30761,129276,180882,36576935,2234,2166,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,439367,0,0,0
ID,7/31/2020,8390,7960,7175,64296,68918,14030449,3199,3005,75,71,4,141,2,0,0,0,0,0,0,0,0,0,0,0,377002,0,0,0
IL,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,5/31/2020,99865,99865,45523,740186,374700,105850062,84027,84027,11791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4844157,0,0,0
IL,6/30/2020,77903,77903,36552,1078435,1061347,269672291,35689,35689,19572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4713620,0,0,0
IL,7/31/2020,157765,157765,69413,2257107,1744209,467826404,37782,37782,66896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10125230,0,0,0
IL,8/31/2020,16095,16095,4334,750143,714782,160159838,8227,8227,200063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042512,0,0,0
IN,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,5/31/2020,109719,109704,83525,655137,649196,103636000,52042,52041,4173,0,0,0,0,0,0,0,0,0,0,0,0,10919,30433,5814420,4148047,0,0,0
IN,6/30/2020,65307,64743,47342,886790,721852,110202180,19587,19522,36190,3,0,0,0,0,0,0,0,0,0,0,0,492,2618,322483,3192406,1,7,1043
