st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28
AK,4/30/2020,3904,3904,0,0,0,0,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129879,0,0,0
AK,5/31/2020,7007,7007,7731,87690,48346,8783307,3406,3406,2801,0,0,0,0,0,0,0,0,0,0,0,0,10,53,11171,452814,0,0,0
AK,6/30/2020,5369,5369,3828,82505,59359,10565778,2098,2098,37,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,385250,0,0,0
AK,7/31/2020,2592,2592,575,63719,26642,494498,0,0,109,6,0,3,0,2,0,2,0,2,0,0,0,0,0,0,252265,0,0,0
AR,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,5/31/2020,40225,4302,20519,48428,44986,5938740,26055,4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043238,0,0,0
AR,6/30/2020,37115,43222,17804,481562,445576,62705413,20390,30086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435860,0,0,0
AR,7/31/2020,48673,21986,19686,481873,460837,62325744,26333,15232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695877,0,0,0
AR,8/31/2020,52966,13017,13600,514598,498182,66502583,21281,7991,0,741,37,329,1,134,1,0,0,0,0,0,0,0,0,0,1875202,0,0,0
AR,9/30/2020,25478,2306,3289,294646,297459,38832456,11592,1513,0,755,58,531,41,129,18,0,0,0,0,0,0,0,0,0,998001,0,0,0
AZ,5/31/2020,204652,132179,46636,1637033,784443,117883218,56846,32799,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6679270,0,0,0
AZ,6/30/2020,629875,615083,242026,7524997,3951131,545020414,87616,86694,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25413348,0,0,0
AZ,7/31/2020,899971,887913,244190,9563948,3623357,486558049,91695,91011,114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34772109,0,0,0
AZ,8/31/2020,273541,270055,126803,1946610,2319048,332687662,40407,40173,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8653882,0,0,0
AZ,9/30/2020,1256138,1254423,313691,2367831,2016672,324770149,138412,138490,10788,17,0,5,0,5,0,1,0,2,0,2,0,0,0,0,26637356,0,0,0
CA,4/30/2020,231338,231307,37851,196436,188477,30411980,229789,229758,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8840264,0,0,0
CA,5/31/2020,505561,487343,532853,5210306,5075202,1278634843,444748,434816,107346,54,0,1,0,1,0,54,0,1,0,1,0,4,12,2074,27227052,2,7,1520
CA,6/30/2020,381354,352889,271687,5820471,5607610,1377514019,337508,318612,163856,1758,1,423,0,203,0,1079,1,254,0,145,0,340,2502,610849,24264358,20,142,40784
CA,7/31/2020,756292,719386,452762,10935303,10651507,2869156172,708238,681706,208998,3921,71,2565,2,1589,1,2567,30,1687,2,1183,1,1453,14934,3731249,48720692,56,422,127593
CA,8/31/2020,1174215,1136234,686651,21278050,19736581,6362924503,1119549,1091088,1440246,4991,129,3814,98,2289,98,3075,61,2437,98,1650,98,803,9114,2565053,84069138,84,808,242701
CA,9/30/2020,644955,606971,150643,15400749,9163311,2551352255,577402,549497,6149582,7005,200,4944,192,2913,80,4500,91,3049,192,2024,38,803,10215,3702259,54173194,79,823,267856
CO,4/30/2020,51744,51744,31744,195860,160440,58004947,51744,51744,2070,0,0,0,0,0,0,0,0,0,0,0,0,309,439,210532,2894358,0,0,0
CO,5/31/2020,33085,33085,41012,472934,436328,140639953,33085,33085,6417,0,0,0,0,0,0,0,0,0,0,0,0,4265,22180,6256573,2058991,0,0,0
CO,6/30/2020,56759,38867,37797,674844,652002,187230294,56759,38867,56175,0,0,0,0,0,0,0,0,0,0,0,0,4768,40925,21468845,3577741,1317,15203,11759809
CO,7/31/2020,159962,28353,76138,466088,479001,141722220,159962,28353,75490,57,0,34,0,9,0,57,0,34,0,9,0,18395,84244,50511535,8915678,14890,52593,36545125
CO,8/31/2020,166057,15730,34743,467491,368422,121342893,166057,15730,136544,42,1,30,0,12,0,42,1,30,0,12,0,41617,101376,62961912,9239465,14122,34411,17303491
CO,9/30/2020,37313,10321,7318,341009,297834,83707352,37313,10321,68105,12,3,8,2,3,1,12,3,8,2,3,1,21777,131382,48334892,2293838,515,1430,798042
CT,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,5/31/2020,26736,24932,23258,237632,219034,44436164,24911,23424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590527,0,0,0
CT,6/30/2020,8444,9921,16337,263203,251548,60420964,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923405,0,0,0
CT,7/31/2020,10808,10366,11898,276153,267154,63849443,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998529,0,0,0
CT,8/31/2020,6204,4167,5182,241687,233313,56005611,3343,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762069,0,0,0
CT,9/30/2020,4250,2967,4209,206189,199034,47231829,2218,1376,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614192,0,0,0
DC,4/30/2020,7034,7030,4453,9513,9340,1681842,3512,3510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,436628,0,0,0
DC,5/31/2020,6715,6715,6463,20823,20228,3587834,2845,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,22309,422408,0,0,0
DC,6/30/2020,3539,3539,3406,8332,8016,1412452,1177,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,44020,191952,0,0,0
DC,7/31/2020,2278,2278,2230,4219,4072,717215,778,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122777,0,0,0
DC,8/31/2020,1021,1021,1007,2665,2531,454820,354,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55626,0,0,0
DC,9/30/2020,764,764,745,1728,1636,304874,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41389,0,0,0
DE,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,5/31/2020,6094,113,113,37511,916,140430,4171,107,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274328,0,0,0
DE,6/30/2020,2876,2311,4469,44789,54186,6180829,1569,1559,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200199,0,0,0
DE,7/31/2020,1709,1377,2071,43104,45098,4976038,864,861,3257,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6862,164224,0,0,0
DE,8/31/2020,871,705,574,36955,31702,4243914,435,433,2049,2,0,1,0,0,0,0,0,0,0,0,0,9,72,9911,125053,0,0,0
DE,9/30/2020,495,415,457,31565,50940,3578152,248,236,1980,2,0,2,0,0,0,0,0,0,0,0,0,3,34,6546,100296,0,0,0
FL,4/30/2020,18273,0,338,5,609,92754,8274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399923,0,0,0
FL,5/31/2020,126334,0,105885,445986,441368,68824109,74479,0,6196,609,0,11,0,0,0,349,0,4,0,0,0,213,384,71033,3545729,0,0,0
FL,6/30/2020,133501,0,126769,1169527,1176365,160737623,77774,0,41628,1612,1,68,0,7,0,886,0,28,0,2,0,871,1797,306509,4937655,0,0,0
FL,7/31/2020,51181,2,59787,1241979,1218003,164459056,31851,0,56600,1848,6,171,1,57,1,949,0,84,0,32,0,1713,5134,664455,3442248,0,0,0
GA,3/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,4/30/2020,82908,76461,7040,12535,12535,2295259,38677,37110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299919,0,0,0
GA,5/31/2020,118162,106262,64880,911648,911648,194232005,59686,56032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4818934,0,0,0
GA,6/30/2020,84948,78438,51659,1784324,1782915,357283921,41917,40263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5410867,0,0,0
GA,7/31/2020,111886,104662,60108,2163070,2162991,461079557,58520,56299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7671067,0,0,0
GA,8/31/2020,28640,24613,106,1039257,1039251,215677406,12517,11463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2897160,0,0,0
